what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1409581262365
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409581262365
java.runtime.version,sysinfo,,,"1.7.0_65-b19",1409581262365
java.specification.name,sysinfo,,,"Java Platform API Specification",1409581262365
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409581262365
java.specification.version,sysinfo,,,"1.7",1409581262365
java.vendor,sysinfo,,,"Oracle Corporation",1409581262365
java.version,sysinfo,,,"1.7.0_65",1409581262365
java.vm.info,sysinfo,,,"mixed mode",1409581262365
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1409581262365
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409581262365
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409581262365
java.vm.specification.version,sysinfo,,,"1.7",1409581262365
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409581262366
java.vm.version,sysinfo,,,"24.65-b04",1409581262366
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409581264530
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1409581266393
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1409581275404
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1409581275549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581278650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581292789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409581292828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581293620
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1409581294948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581299237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581299362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581300797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581309606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581325382
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1409581343615
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1409581343878
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1409581344428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581355400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581356502
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409581357066
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1409581357447
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1409581358809
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1409581358809
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1409581358810
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1409581358810
stopped,bundle,org.eclipse.ajdt.mylyn.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.mylyn.ui",1409581358811
stopped,bundle,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.ui",1409581358814
